OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Full Address,Latitude,Longitude
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,"US-24, Woodburn                                ",41.1386069,-84.8548813
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399,"I-29 EXIT 110, Rock Port",40.4130817,-95.5584864
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079,"I-20 EXIT 44, Gilbert",33.3528264,-111.789027
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333,"I-26, EXIT 145 & US-601, Orangeburg",34.3154473,-81.5817733
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,"US-160 & SR-17, Alamosa",37.2717117,-100.8689322
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299,"I-20, EXIT 169 & US-80, Toomsuba",32.413661,-88.4964311
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299,"I-29, EXIT 215, Pembina                                 ",48.9664142,-97.2588851
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666,"US-54/SR-136/SR-3 & US-64, Guymon",36.7625414,-101.6285153
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,693,3.299,"I-35 N, EXIT 4, Laredo                                  ",27.6198563,-99.4912323
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,"US-87 & US-191, Moore",46.9829822,-109.7453123
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999,"I-75, EXIT 117, Heiskell",36.0966442,-84.0180681
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439,"I-40 & I-75, EXIT 374, Knoxville",35.9529526,-83.97852979999999
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,"I-10, EXIT 140B, Van Horn",31.0374233,-104.8255618
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,"I-10, EXIT 140B, Van Horn",31.0374233,-104.8255618
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179,"I-70 & ST-285, EXIT 186, Lore City                               ",39.1139719,-94.6164971
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666,"I-985, EXIT 20 & SR-60, Gainesville",34.2666588,-83.8207212
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,"US-45 ALT, West Point",33.6010779,-88.6590548
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,"US-30, Wanatah",41.4339303,-86.8917027
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389,"I-80, EXIT 73, Peru",41.3275349,-89.1289728
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589,"I-80, EXIT 73, Peru",41.3275349,-89.1289728
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449,"I-80, EXIT 73, Peru",41.3275349,-89.1289728
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289,"I-80, EXIT 73, Peru",41.3275349,-89.1289728
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333,"I-40, EXIT 142, Maumelle",34.8652478,-92.3585911
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666,"I-80/I-94, EXIT 6, Gary",41.5838563,-87.23803749999999
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459,"I-10 & I-8, EXIT 203, Eloy",32.7712262,-111.6094565
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899,"I-69, EXIT 309A, Fort Wayne                              ",41.0916397,-85.2183605
